PolicyRef,Agent Code,InceptionDate,ProductClass,syspolicytype,Claim,Claim Dates
52831VBDC,SS66TV,01-Jul-22,Aviation,PRT,152670.966,21-Sep-22
52890YWMK,IJ75DZ,01-Jul-22,Non Marine,OM,108387.4708,17-Sep-22
52902UDMR,QH67GM,24-May-22,Property,OM,130760.6552,09-Jul-22
52957SUUD,PV82DZ,01-Nov-21,Non Marine,OM,96578.216,02-Jan-22
52996OMAM,VR81IX,01-Nov-22,Property,OM,119969.3264,28-Nov-22
52999RXTU,GZ79EU,15-Sep-21,Infra,OM,84848.4588,27-Jan-22
53017IAGW,TW81CW,15-Dec-21,Aviation,OM,158137.014,12-Aug-22
53025FNEG,JO66DM,01-Oct-22,Non Marine,OM,161997.626,07-Oct-22
53037MODJ,MV70FE,18-May-21,Non Marine,OM,35900.3106,29-Jul-21
53047NVJJ,VJ80HH,01-Jan-22,Energy,OM,72510.4744,06-Mar-22
53096UZAK,FT88QO,09-Sep-22,Property,OM,93894.0156,19-Oct-22
53104TXKW,TZ83BF,01-Jul-22,Infra,OM,73673.9304,14-Aug-22
53116GZPF,HR90RW,17-Aug-21,Non Marine,OM,90974.8504,25-Dec-21
53144FCNC,SD74LV,01-Jul-21,Property,OM,105343.2576,24-Jan-22
53166TVFT,ZX78JI,30-Nov-21,Non Marine,OM,154614.8352,27-Jan-22
53221UFWQ,RK77YY,01-Jan-22,Non Marine,BON,108103.996,07-Feb-22
53238CKJT,XJ78BM,26-Sep-22,Marine,OM,10913.182,28-Nov-22
53242MHVS,ZS87IR,01-Jul-21,Aviation,OM,23931.355,19-Feb-22
53267BWVL,DN71YX,01-Sep-21,Energy,OM,56229.4992,13-Feb-22
53270SXWT,LY90UM,02-Apr-22,Non Marine,OM,182311.213,27-May-22
53286NYRB,LG90WL,01-Jul-22,Infra,OM,147456.9348,08-Aug-22
53292IZYF,LK66CC,01-Jul-21,Non Marine,OM,123289.7232,19-Oct-21
53306ENGG,KK65HM,01-Sep-22,Non Marine,ELT,62963.53,24-Nov-22
53311XMEL,NN84BV,01-Jul-21,Retail,OM,48610.1952,28-Dec-21
53334LRBL,EQ83JH,20-May-21,Non Marine,OM,100704.8196,28-Sep-21
53349FXKN,RP87RU,30-Sep-21,Infra,OM,101928.2418,31-Jan-22
53349MNKS,HH89JD,01-Dec-21,Const,OM,113965.5328,08-Jan-22
53380OHLZ,FZ70KU,01-Jan-21,Non Marine,OM,163986.144,27-Feb-21
53395QNCJ,SR77DT,30-Sep-22,Const,OM,150392.2896,16-Nov-22
53445VAPS,MQ86UD,30-Mar-21,Non Marine,ELT,51180.0296,05-Nov-21
53457PCGZ,AK77JP,01-May-21,Aviation,OM,171740.9232,13-Sep-21
53459ZBMN,YL70TR,23-Apr-21,Non Marine,OM,17364.032,22-Dec-21
53476GYWR,TK70BZ,01-Sep-22,Property,OM,93418.6176,13-Oct-22
53482XVKA,TZ83BF,30-Jun-21,Non Marine,OM,88463.8846,14-Nov-21
53494PYJH,YL70TR,15-Apr-21,Non Marine,OM,131675.642,11-Oct-21
53503CIXH,TT89WN,30-Jun-22,Property,OM,52753.8116,20-Aug-22
53542JNGV,VU90IU,01-Apr-21,Casualty,OM,125172.656,05-Nov-21
53571NFQE,JJ66PN,01-Jul-21,Retail,OM,116460.5736,29-Dec-21
53572KLPY,OQ80TF,01-Feb-21,Const,OM,80119.5276,07-Mar-21
53576UNWL,GU77WE,11-Dec-21,Retail,OM,104425.2524,17-Aug-22
53598VIKV,EX86QN,02-Jun-21,Aviation,OM,136975.7564,10-Jan-22
53599KWCH,GD65BN,01-Apr-21,Aero,OM,113602.482,06-Sep-21
53626IRTO,VY83RJ,21-Sep-21,Infra,OM,55909.833,19-Mar-22
53628RWDY,CS76LS,01-Apr-21,Non Marine,ELT,31552.0212,21-Oct-21
53653SVVA,ZO67YU,15-Mar-22,Non Marine,OM,85275.141,19-Apr-22
53654YLZY,HO89AL,01-Nov-22,Infra,OM,38963.232,06-Nov-22
53662NHLT,CT87OW,01-Nov-21,Infra,OM,74479.3728,03-Jun-22
53718XWBV,WL85KO,03-Jan-22,Infra,OM,191002.4312,03-Feb-22
53737RUWO,EX71BP,01-Jul-21,Aviation,OM,91632.4794,04-Sep-21
53740YUYD,HP68XN,09-Jun-21,Retail,OM,78556.849,22-Nov-21
53745AHFQ,VK81IW,01-Nov-22,Const,OM,129703.196,20-Nov-22
53754SIEA,XF90SP,06-Sep-21,Non Marine,OM,88718.714,28-Feb-22
53760PGON,IG72WK,01-May-21,Property,OM,187004.8838,02-Oct-21
53815KQFJ,DE76BP,01-Jul-22,Property,OM,11317.8338,29-Aug-22
53820PKCA,AP84LI,01-May-22,Non Marine,OM,113416.3016,10-Jun-22
53825UARN,XB70ID,01-Feb-22,Non Marine,OM,96351.5322,18-Apr-22
53838MEXQ,LW85JV,29-Jan-21,Aviation,OM,141405.866,26-Sep-21
53863HQPZ,SR82NY,01-Apr-21,Property,OM,47651.6768,09-Jun-21
53878AGTV,BN84FC,01-Sep-22,Non Marine,OM,130704.6482,27-Nov-22
53904NLAH,HO72FQ,24-Feb-21,Property,OM,84633.192,19-May-21
53944XKFA,DO88WH,01-Jul-21,Const,OM,86547.6612,29-Oct-21
53964TONK,IR69KP,17-Dec-21,Const,OM,92762.3606,23-Feb-22
53986UCAS,FT88QO,29-Jun-21,Property,OM,106987.2468,09-Sep-21
54013SGDK,HZ69XY,07-Apr-21,Non Marine,OM,98146.4904,06-Oct-21
54018RHTN,JP83VH,01-Jul-21,Aviation,OM,69348.426,26-Feb-22
54040VPEO,OV81VM,16-Sep-21,Infra,OM,146402.592,02-Nov-21
54057HJPO,AU71OZ,01-Feb-22,Accident,OM,78397.2462,09-Mar-22
54066EASC,WF70LL,03-Mar-21,Property,OM,156843.2376,12-Aug-21
54114SHVT,DU68OL,01-Jan-21,Property,OM,125400.8392,07-Sep-21
54118ONYJ,XB72QK,01-Jan-21,Accident,OM,35364.1428,05-Feb-21
54143SWSD,HM65AU,31-Aug-22,Const,OM,160234.2336,12-Oct-22
54148RJJL,ZR66TT,25-Aug-22,Non Marine,OM,27862.6152,17-Nov-22
54197MKFH,KL84PS,01-Jan-21,Non Marine,OM,121267.2384,25-Mar-21
54224OSAL,MP73VH,31-Mar-21,Const,OM,111946.0664,27-Sep-21
54251UGIC,QI79SJ,01-Mar-21,Energy,OM,54142.9616,25-May-21
54256HNYM,CW70RA,22-Mar-21,Non Marine,OM,52812.396,13-May-21
54265BYXG,ZD68JJ,20-Feb-21,Infra,OM,147029.9684,27-Mar-21
54320WGJV,FD79HQ,31-Dec-21,Retail,OM,49871.3278,09-May-22
54327EKVG,JE69NF,28-Feb-21,Const,OM,65572.4958,20-Sep-21
54358BZYX,TZ83BF,31-Dec-21,Infra,OM,79854.712,13-Aug-22
54435CTIX,PX87ZF,01-Jul-21,Energy,OM,27835.038,21-Oct-21
54443EJEH,MY77SU,01-Nov-21,Non Marine,OM,157172.204,05-Mar-22
54458TXYE,PE88NZ,15-Feb-22,Non Marine,OM,143065.1236,06-May-22
54459ORDY,GU69FO,17-Sep-22,Marine,OM,90781.6728,09-Nov-22
54475HIEH,TF66JC,01-Jan-21,Non Marine,ELT,57070.3,14-Aug-21
54476DPIU,NQ69SJ,15-Dec-21,Property,OM,99725.5448,25-Apr-22
54495MVMY,JV73MY,01-Oct-21,Non Marine,OM,136879.7458,09-Feb-22
54498HGWG,MV65XP,08-Apr-21,Const,OM,49818.1824,22-Sep-21
54498SLTK,IC66FN,12-Aug-21,Const,OM,73194.9652,16-Jan-22
54609YTJI,MN85HV,06-Jan-21,Non Marine,OM,119542.2228,31-Aug-21
54616NCJU,UQ83OL,31-May-22,Const,OM,29548.1368,29-Aug-22
54620CSKF,QC67CS,30-Oct-22,Retail,OM,137038.104,12-Nov-22
54714JBAI,OV81VM,20-Apr-22,Infra,OM,84700.5572,05-Jun-22
54819AONN,DC83HJ,11-Aug-22,Infra,OM,136866.7608,11-Sep-22
54819SNQE,ZP90RU,15-Sep-21,Non Marine,OM,50164.5732,30-Mar-22
54822BVBN,VE66IK,01-Apr-21,Non Marine,OM,80822.4032,16-Nov-21
54829RGXY,VA83CJ,11-Aug-22,Non Marine,OM,32810.4,06-Oct-22
54861XTYW,IQ76XK,01-Jan-22,Non Marine,OM,34696.0768,27-Feb-22
54897XMYS,LI82UF,01-May-22,Energy,OM,105337.995,06-Jul-22
54907ZSPZ,ZM83XK,01-Apr-22,Retail,OM,72621.4104,27-May-22
54922UHFQ,BR83VF,01-Jul-22,Const,OM,165021.3082,26-Sep-22
54927HJOV,TL84WA,22-May-21,Non Marine,OM,32374.6038,07-Jan-22
54983FUOE,QL84CK,30-Sep-21,Non Marine,OM,22408.9152,07-Jan-22
55095YYZZ,XT84ZF,02-Dec-21,Non Marine,OM,19330.2648,07-Mar-22
55106MLWL,QL84CK,31-Dec-21,Non Marine,OM,97118.9996,07-Jun-22
55107AIVN,GA74DS,01-Dec-21,Non Marine,BON,61647.1156,26-Jan-22
55148QVFF,XR82FB,01-Jan-21,Non Marine,PRT,34142.4356,27-Jun-21
55223LNJO,PS71FE,19-Jan-21,Infra,OM,111482.448,12-Sep-21
55225HQUR,ZF89YN,01-Jan-22,Infra,PRT,21758.6754,15-Mar-22
55244YYSD,FG75PT,01-Aug-22,Property,OM,118449.513,27-Oct-22
55246DNCK,CN90FY,07-Jun-22,Property,OM,83085.4388,13-Aug-22
55252VKAH,SA75HH,01-Jun-21,Infra,OM,44027.039,01-Jan-22
55265OSAV,AR71NC,30-Sep-22,Property,OM,9694.503,19-Nov-22
55292PKQE,MV70FS,20-May-21,Retail,OM,126988.2432,13-Jan-22
55297NOQN,SR79LW,01-Jun-21,Non Marine,OM,116018.5152,23-Jan-22
55329YQBI,PE84FX,01-Jul-21,Non Marine,ELT,48091.8438,09-Sep-21
55336EHIA,BL71KI,01-Jan-22,Non Marine,ELT,109555.2192,06-Mar-22
55342NASE,GG78VC,28-Apr-21,Property,OM,149714.2864,19-Sep-21
55373RPAT,WQ68CS,21-Jul-22,Casualty,OM,140665.3976,25-Sep-22
55398HGVG,CD82RJ,14-Oct-21,Property,OM,107082.2382,03-Jun-22
55434VAUV,NW69OD,16-May-21,Energy,OM,17828.65,22-Aug-21
55436NDQV,XQ84PZ,01-Jul-21,Non Marine,OM,168191.9316,20-Nov-21
55450CJDV,NC65HB,08-Jul-22,Aviation,OM,145203.1994,30-Sep-22
55472CWBO,PP88CO,25-Jan-21,Infra,OM,49288.61,02-Sep-21
55478MNEM,RW79IT,01-Nov-22,Const,OM,19446.5908,29-Nov-22
55478WUXQ,LN72NP,01-Feb-21,Retail,OM,133811.6696,28-Aug-21
55489SXNH,NQ69SJ,01-Jul-21,Property,OM,58761.4272,03-Oct-21
55496FGIS,IF78BA,21-Jun-22,Non Marine,OM,115908.2064,14-Aug-22
55511RJVJ,ZD68JJ,23-Mar-21,Infra,OM,177028.6112,16-Sep-21
55533ZSIC,SI88MI,10-Mar-22,Const,OM,13977.2304,20-Apr-22
55534ZLQD,KL84PS,12-Jun-21,Non Marine,OM,92167.9024,15-Dec-21
55539TBJA,GI84MR,01-Jun-21,Energy,OM,122034.1864,20-Nov-21
55545OQJS,UD65YD,01-Jul-21,Non Marine,ELT,138695.725,30-Aug-21
55577ITRK,HQ81VM,01-Jun-21,Property,OM,36469.132,02-Nov-21
55588VFMR,OE87ND,20-Jul-21,Non Marine,OM,49351.379,25-Nov-21
55592FVFS,FG75PT,01-Apr-22,Property,OM,60786.9696,26-Jun-22
55596YPUV,NA90YR,01-Nov-21,Non Marine,OM,152011.9062,09-Jul-22
55600GESK,UF87UT,01-May-21,Property,OM,13763.2572,21-Oct-21
55622OREP,VY83RJ,01-Oct-21,Infra,OM,21987.4368,28-Mar-22
55645UMVL,YL70TR,05-Jan-22,Non Marine,OM,62644.3636,12-Feb-22
55658GGUS,LU87SE,08-Jun-22,Non Marine,OM,173600.7378,11-Jul-22
55667LUKV,BG71YO,31-Oct-21,Infra,OM,144850.566,03-Apr-22
55684ZTSU,QV72FR,01-Oct-22,Non Marine,OM,129015.334,09-Nov-22
55687NUIT,GA83ZM,23-Sep-21,Retail,OM,95023.2304,08-Apr-22
55701UAQQ,GD65BN,01-Apr-22,Aero,OM,174832.6272,17-May-22
55703VDML,IZ72HV,01-Jul-22,Casualty,OM,173859.595,05-Sep-22
55705VZVS,LA83XK,31-Oct-22,Property,OM,158089.533,10-Nov-22
55712LRDT,NT76FC,31-Oct-22,Casualty,OM,172644.3264,11-Nov-22
55718MIMF,FR85CG,24-May-22,Casualty,OM,168313.3732,19-Aug-22
55735HAEF,CE80NT,22-Sep-21,Property,OM,138830.72,05-Dec-21
55817JEUM,HF77AY,01-Aug-21,Casualty,OM,129170.664,02-Mar-22
55844EITO,IL83HZ,30-Jun-21,Property,OM,15125.9472,17-Feb-22
55863HGZF,ZX65XK,03-Apr-21,Infra,OM,170935.8042,07-Jul-21
55869GZAH,SW66SU,01-Apr-22,Property,OM,73179.9516,21-May-22
55872DZMP,QY70YG,31-Dec-21,Non Marine,OM,11844.5544,30-Aug-22
55888SDUW,ZO76WT,01-Aug-22,Infra,PRT,15927.7734,06-Oct-22
55908AHSY,EQ83JH,23-Mar-21,Non Marine,OM,12543.7844,11-Nov-21
55965QUGV,JV73MY,01-Sep-22,Infra,OM,119013.2188,29-Nov-22
55973JKJY,QW76IM,03-Dec-21,Casualty,OM,32720.1028,19-Jul-22
56027LAEU,WL85KO,09-Sep-22,Infra,OM,68448.051,22-Nov-22
56052LKXA,CT87OW,01-Oct-21,Infra,OM,30250.4832,23-Jan-22
56144PZGH,NA90YR,01-Jun-21,Non Marine,OM,190472.2904,03-Jan-22
56150JYOV,LS82ZY,29-May-22,Non Marine,OM,104121.2172,21-Aug-22
56160BOJZ,KU85HE,01-Apr-22,Property,OM,38050.6168,09-Jun-22
56166ZMAH,GH82JI,01-Aug-21,Const,OM,129971.1084,13-Mar-22
56174NOSV,PC74FZ,01-Jan-21,Retail,OM,118220.928,02-Aug-21
56191VJME,JE73SU,01-Mar-21,Casualty,OM,180947.0432,05-Nov-21
56197EICL,JV73MY,01-Oct-22,Non Marine,OM,178551.7272,25-Oct-22
56201USKU,SS68JG,17-Sep-21,Non Marine,OM,112834.3384,22-May-22
56204CKJT,TJ72CM,15-Jan-21,Const,OM,74482.254,01-May-21
56204VURW,LY90UM,01-Nov-22,Non Marine,OM,67631.7208,14-Nov-22
56240KAWI,WR74GV,15-Jul-21,Aviation,OM,177454.6368,26-Nov-21
56259FKCP,FP65WS,01-Jun-22,Non Marine,OM,50409.4752,26-Aug-22
56269TECI,EK71VP,31-Mar-21,Retail,OM,54831.7056,11-Sep-21
56342YASL,JN85JN,01-Oct-22,Casualty,ELT,71635.1286,11-Nov-22
56360XOWV,BP76EO,01-Apr-22,Const,OM,52885.1708,16-May-22
56404ZMNL,UQ76OB,01-Jun-21,Retail,OM,115368.589,26-Jul-21
56406ZLZR,EK67KG,01-Jan-21,Property,OM,144351.9616,01-Feb-21
56441JWBU,TF66JC,01-Jan-22,Non Marine,ELT,32534.6868,01-Mar-22
56504ZTKM,JG90MU,15-Jul-21,Non Marine,OM,173155.4748,14-Sep-21
56522DELU,QX80FS,31-Jul-22,Non Marine,OM,120354.6526,27-Sep-22
56525TJKK,BW68ER,31-Jan-22,Non Marine,OM,167768.5422,22-Mar-22
56542YBOM,NI70DC,01-Apr-21,Non Marine,OM,59843.3472,17-Aug-21
56545APUW,NG73DI,01-Jan-21,Aviation,OM,23141.3672,18-Feb-21
56552ZYQI,XR87HN,09-Apr-22,Aviation,OM,162808.8504,13-Jun-22
56580QTPY,EB65JD,01-Dec-22,Non Marine,OM,96740.5824,10-Dec-22
56630MYWX,TF67KR,01-Jan-21,Accident,OM,52825.7926,01-Jul-21
56698DYYP,OV81VM,04-Mar-21,Infra,OM,155289.869,03-Nov-21
56716GEBG,CD87DD,30-Jun-21,Property,OM,122223.542,05-Dec-21
56721SFFM,JE73SU,15-Mar-21,Casualty,OM,131618.8608,12-Jul-21
56770SYKI,HO66DJ,01-Jan-21,Non Marine,OM,101597.237,29-Apr-21
56804VBUP,II90AR,20-Feb-21,Infra,OM,152005.9968,10-Sep-21
56813CPCP,CH84ZZ,01-Jun-21,Non Marine,OM,82459.3756,04-Oct-21
56853NCVC,LB75UY,18-Oct-22,Aviation,OM,77774.809,05-Nov-22
56892AMVB,VA83CJ,10-Sep-22,Non Marine,OM,168220.7828,01-Nov-22
56905YYMU,XT84ZF,23-Aug-22,Non Marine,OM,137155.851,04-Oct-22
56922SLCC,KK65HM,01-May-21,Non Marine,ELT,107939.356,07-Jun-21
56933KTIO,IJ75DZ,07-Oct-22,Non Marine,OM,130509.7458,31-Oct-22
56957MEEL,MT73HO,01-Jan-21,Non Marine,ELT,71009.7808,17-Jun-21
56981SBNA,QZ75KD,05-May-21,Const,OM,122201.4528,08-Aug-21
56985NOMC,OQ76CG,01-Feb-21,Infra,ELT,119038.8654,02-May-21
57022MATO,JV73MY,01-Oct-21,Non Marine,OM,25481.7836,09-Feb-22
57026JWAF,TF81PA,06-Jul-21,Retail,OM,139586.3196,03-Feb-22
57095VOBK,DU68OL,01-Nov-21,Property,OM,68096.0448,06-May-22
57100KLFQ,KO81GG,20-Feb-22,Infra,OM,77024.178,04-May-22
57135VXRL,FC84RH,16-Oct-21,Property,OM,108326.6716,14-Apr-22
57157BOLX,ER78YW,22-Aug-22,Const,OM,43953.6664,26-Sep-22
57163UDKF,RK77YY,01-Jan-21,Non Marine,BON,145617.661,12-Apr-21
57172SZEM,DL87BQ,31-Jul-22,Retail,OM,117837.3266,03-Sep-22
57175WTBX,HJ71DG,31-Mar-22,Non Marine,OM,103158.3672,15-May-22
57190WZWJ,CD82RJ,05-Oct-21,Property,OM,183303.1396,20-Mar-22
57194UAML,LN72NP,01-Oct-21,Property,OM,165019.75,20-Nov-21
57206MNVN,VA83CJ,01-Apr-21,Non Marine,OM,12215.112,28-Jun-21
57208FYHY,BM74CE,31-Dec-21,Non Marine,OM,10442.341,24-Apr-22
57210KIIR,XY67XZ,28-Feb-22,Non Marine,OM,10243.6656,05-Apr-22
57220ESKU,XU84LI,01-Jan-21,Infra,ELT,125938.1634,18-Mar-21
57233HJCX,FC83AJ,01-Apr-22,Non Marine,OM,81578.5712,17-Jun-22
57277WILK,EQ69KF,11-Dec-21,Infra,OM,42105.2884,06-Mar-22
57282GSJH,KB71NE,30-Sep-22,Const,OM,137473.6454,18-Nov-22
57284CBBB,EK84IW,15-May-22,Non Marine,OM,171146.9746,19-Jun-22
57287JPJG,GB87EC,01-Mar-22,Non Marine,CVR,58162.1376,16-May-22
57293BBWW,XU84LI,01-Jan-21,Infra,ELT,24625.6164,19-Mar-21
57293ZRQU,YC78SG,01-Jul-21,Casualty,OM,11730.7372,19-Dec-21
57302SNMO,OC84KI,01-Jan-21,Non Marine,OM,144408.341,28-May-21
57338HZEE,ZX78JI,10-Mar-21,Non Marine,OM,171992.548,17-Jul-21
57338KABU,NJ72BS,29-Sep-21,Non Marine,OM,37532.7064,28-Feb-22
57339IQEA,AW73XE,01-Nov-22,Casualty,OM,101759.8288,10-Nov-22
57370KZFF,BR83VF,01-Aug-21,Const,OM,113805.048,02-Nov-21
57386MJEM,XY67XZ,12-Apr-21,Non Marine,OM,136528.6314,17-Jun-21
57400KHLC,CE80NT,01-Apr-21,Property,OM,156916.032,04-Dec-21
57454LURY,JV73MY,01-Apr-22,Const,OM,129122.644,14-Jun-22
57464VGVV,VL86JG,01-May-22,Aviation,OM,144025.2198,25-Jul-22
57476JTHQ,IZ72HV,30-Sep-21,Casualty,OM,169981.5684,26-Nov-21
57479DIYG,YO79ZT,16-Jan-21,Infra,OM,32076.2624,04-May-21
57514SJEL,QK76MH,01-Mar-22,Infra,OM,133635.348,13-May-22
57548IAYX,CT87OW,01-Aug-22,Infra,OM,12967.6638,24-Oct-22
57572ZDUT,RL87FF,01-Apr-22,Casualty,OM,163909.5472,02-Jun-22
57617CFAY,FR85CG,30-Nov-22,Casualty,OM,184020.9504,16-Dec-22
57632EHXR,XT84ZF,25-Mar-21,Non Marine,OM,11430.72,15-Nov-21
57680YGHJ,CW70RA,01-Feb-22,Non Marine,OM,104588.442,06-Mar-22
57693JHBZ,ME86XD,01-Jan-22,Non Marine,OM,32230.8672,08-Feb-22
57707NDYS,XC68PQ,01-Jan-21,Accident,BON,114553.4936,01-Jul-21
57714ZVKI,QG76HF,10-Jan-21,Retail,OM,150262.6944,07-Sep-21
57717WVKK,BR83VF,20-Jul-21,Const,OM,99183.105,03-Oct-21
57721ECVW,UU88GO,01-Sep-22,Property,OM,32886.007,23-Oct-22
57743CUYH,FL78KD,01-Oct-22,Non Marine,OM,120311.268,04-Nov-22
57746WVSV,SA75HH,01-Jul-21,Infra,OM,139854.82,01-Sep-21
57792GCBD,DE76BP,01-Jul-21,Property,OM,133502.3424,10-Sep-21
57803LQZI,PW72IK,28-Aug-21,Retail,OM,36993.726,16-Mar-22
57837FMME,ON86CI,01-Sep-21,Aviation,OM,147244.608,21-Feb-22
57844RPEW,OD71GG,01-Apr-21,Non Marine,ELT,170535.9348,22-Sep-21
57855MQVM,KI86BR,01-Jan-22,Retail,OM,132025.11,09-Feb-22
57865VGUX,TW81CW,16-Jul-21,Aviation,OM,147133.7406,05-Nov-21
57911QSYU,NB89ZK,01-Jan-21,Non Marine,PRT,86986.368,13-Jun-21
57955IWQI,JI81FZ,01-Sep-22,Casualty,BON,32145.6366,02-Nov-22
57956GNCX,QW76IM,01-Jan-22,Casualty,OM,154037.184,21-Mar-22
57994TLYM,BI71AH,14-Aug-22,Property,OM,52726.3128,14-Oct-22
58028ENNX,MP73VH,02-Oct-21,Const,OM,180909.2544,07-Dec-21
58035SMAQ,JE73SU,01-Mar-21,Casualty,OM,60458.9832,09-Jun-21
58058NLVS,KI88NZ,30-Aug-22,Property,OM,55739.6952,16-Oct-22
58061GHCT,ZW67OZ,01-Jan-21,Non Marine,OM,143464.0032,03-Mar-21
58080KNOQ,ZS87QX,02-Apr-21,Non Marine,OM,26297.957,14-Aug-21
58084TLOH,HO66WI,01-Mar-22,Property,OM,113106.5628,06-May-22
58086SGXG,VA83CJ,01-Apr-22,Non Marine,OM,67766.2356,17-May-22
58091VKWF,MD80BU,31-Dec-21,Property,OM,173959.5648,02-May-22
58129WZAI,HI89BF,01-Apr-22,Infra,OM,153096.384,30-Jun-22
58170UWGQ,XC68PQ,06-May-21,Accident,BON,37864.701,01-Aug-21
58198UUHD,FL88ZR,01-Aug-21,Property,OM,115183.6434,09-Oct-21
58204PYBE,ST87TD,01-Jul-21,Non Marine,ELT,56588.973,17-Aug-21
58241RFUD,SA75HH,01-Aug-22,Infra,OM,140774.648,15-Oct-22
58242ZWIA,JK88XY,01-Jul-21,Const,OM,55695.3012,01-Jan-22
58263CPLI,AL83NF,16-Oct-21,Property,OM,123970,15-Jun-22
58281TEGC,ZR66TT,28-Mar-22,Non Marine,OM,159689.5496,29-Apr-22
58312RTMN,RM71AS,01-Jan-22,Non Marine,OM,160520.0212,04-Feb-22
58333OCQG,PN81VF,30-Apr-21,Non Marine,OM,137572.2432,31-Jul-21
58388IVNK,LG90WL,31-Jan-22,Retail,OM,187543.874,27-Mar-22
58456LHII,RW79IT,15-Nov-22,Const,OM,117141.8304,05-Dec-22
58471RXMW,CT87OW,01-Oct-22,Infra,OM,141055.4376,23-Oct-22
58493FKJT,MP73VH,24-Apr-21,Const,OM,18136.811,09-Oct-21
58499MISM,TT89WN,01-Jun-21,Property,OM,152949.6192,16-Aug-21
58534KLHU,TF66JC,01-Apr-22,Non Marine,BON,99838.6368,24-Jun-22
58540SKNO,MJ78KO,30-Dec-21,Non Marine,BON,15701.0112,16-Apr-22
58566SVSV,LO82WI,05-Feb-21,Const,OM,93894.4664,14-Jun-21
58585IVCD,MN85HV,23-Dec-21,Non Marine,OM,137546.773,17-Jun-22
58605VSNV,JE73SU,22-Feb-21,Casualty,OM,86915.367,31-Mar-21
58608NIHJ,IT70SF,13-Feb-22,Infra,OM,24140.487,29-Apr-22
58616KRSS,BQ86ZC,01-Jan-21,Non Marine,OM,82458.2976,23-Jun-21
58632AOZO,EP88ET,18-Feb-22,Casualty,OM,30867.648,28-Apr-22
58640HUFB,GD65BN,30-Jun-21,Infra,OM,148611.9726,15-Sep-21
58644XGAI,JO90SC,24-Nov-21,Non Marine,OM,150302.2178,24-Jun-22
58648CPRD,HU77ET,06-May-22,Aviation,OM,34282.4384,11-Jul-22
58667WYEK,WR74GV,26-Aug-22,Aviation,OM,98821.2792,17-Oct-22
58672BRRA,UV73JB,30-Sep-21,Energy,OM,178117.7244,14-Apr-22
58729OMTF,SD75LY,24-Feb-21,Non Marine,OM,113888.5342,09-Apr-21
58754NUKL,PE88NZ,01-Apr-21,Non Marine,OM,43864.7804,12-May-21
58781QSBK,IB88PA,27-Jan-21,Infra,OM,39312.3276,13-Sep-21
58784WTBX,MX73AP,01-Jan-21,Non Marine,PRT,24340.113,05-Feb-21
58795GYBU,AR71NC,31-Dec-21,Retail,OM,28432.642,23-Jul-22
58824PWBY,FT79QV,28-Dec-21,Non Marine,OM,56363.9552,01-Sep-22
58881KBZW,FX65XK,01-Nov-22,Property,OM,148202.2052,14-Nov-22
58883PNSV,EH90PI,01-Sep-21,Non Marine,OM,86328.396,24-Feb-22
58908IRBC,ZE69JG,10-Feb-22,Property,OM,20322.064,11-May-22
58917WKJD,RL87FF,08-Jul-21,Non Marine,OM,53864.2888,08-Nov-21
58930FDWK,WO89QX,16-Jan-22,Non Marine,OM,161747.9808,14-Mar-22
58995OBSX,LW66LF,01-Apr-21,Aviation,OM,73346.7378,22-Jun-21
59003BOOU,XF90SP,13-Apr-21,Non Marine,OM,150535.938,16-Dec-21
59005GVNW,FR85CG,01-Nov-21,Casualty,OM,67453.694,19-Jan-22
59026IWFE,QW76IM,30-Aug-21,Casualty,OM,134922.4604,19-Mar-22
59034CHZS,OV81VM,21-Oct-22,Infra,OM,9567.936,20-Nov-22
59048NPEZ,AY74KP,01-Jul-21,Retail,OM,178758.4288,05-Dec-21
59074DIYZ,TK70BZ,01-May-21,Property,OM,77056.077,01-Nov-21
59101NUHP,MZ79LE,10-Apr-22,Const,OM,99757.6692,02-Jun-22
59103DSFD,MP73VH,01-Apr-21,Const,OM,65887.8402,18-May-21
59107GGXX,GA74DS,16-Oct-21,Non Marine,ELT,110035.7524,22-Jan-22
59177MQZX,RL87FF,28-Dec-21,Non Marine,OM,51671.4408,04-Jul-22
59236TIDV,CW70RA,24-Nov-21,Non Marine,OM,148729.0532,30-Dec-21
59240LGKR,XM87JQ,31-Mar-21,Casualty,OM,117536.8782,18-Nov-21
59269WLYZ,GM68HI,01-Jul-22,Const,OM,173686.9288,29-Aug-22
59283XSXW,HO66DJ,01-Nov-22,Retail,OM,181263.838,01-Dec-22
59284LEVE,DR69JR,01-Dec-21,Const,OM,39413.4048,13-Jan-22
59313LFEN,QV72FR,22-Jul-21,Non Marine,OM,72611.2576,06-Feb-22
59330EOGE,NA90YR,01-Jul-21,Non Marine,OM,68491.808,05-Sep-21
59352IUGZ,CG66OZ,22-Sep-21,Property,OM,112496.2384,16-Feb-22
59396IXZO,DB76PZ,12-Oct-21,Retail,OM,96275.8566,21-Nov-21
59434ECMA,IS85TH,30-Jun-21,Property,OM,137026.6576,14-Jan-22
59520AWEW,HI77AB,01-Feb-21,Retail,OM,89079.9812,02-Apr-21
59553LMAM,RW79IT,05-May-22,Const,OM,59282.405,11-Jul-22
59560GKAY,YL70TR,13-May-22,Non Marine,OM,62741.952,23-Jun-22
59569KMDA,DZ67HO,01-Mar-21,Property,OM,183106.0224,30-Sep-21
